date,realized_equity,unrealized_pnl,total_equity,open_positions
2026-08-07,9999.367259364908,-0.6330571636734046,9998.734202201234,1
2026-08-07,9999.367259364908,-0.6330571636734046,9998.734202201234,1
2026-08-07,9999.367259364908,-0.6330571636734046,9998.734202201234,1
2026-08-08,9999.367259364908,0.0,9999.367259364908,1
2026-08-09,9999.367259364908,0.0,9999.367259364908,1
2026-08-10,9999.367259364908,-0.6330571636734046,9998.734202201234,1
2026-08-10,9998.622322111956,57.54184025662586,10056.164162368583,2
2026-08-11,9998.622322111956,-73.64422220877243,9924.978099903185,2
2026-08-11,9998.622322111956,42.86723740762847,10041.489559519585,2
2026-08-12,9998.622322111956,57.54184025662586,10056.164162368583,2
2026-08-12,9996.622556964661,84.2010825500559,10080.823639514718,5
2026-08-12,9996.622556964661,85.66610088914705,10082.28865785381,5
2026-08-13,9995.20204689771,104.21835465404287,10099.420401551753,11
2026-08-15,9995.20204689771,0.0,9995.20204689771,11
2026-08-16,9995.20204689771,0.0,9995.20204689771,11
2026-08-17,9995.073623675955,213.72752054313355,10208.80114421909,12
2026-08-19,9968.357414896089,298.8839368294218,10267.24135172551,12
2026-08-20,9968.357414896089,328.61276681803344,10296.970181714123,12
2026-08-21,9968.357414896089,298.8839368294218,10267.24135172551,12
2026-08-21,9968.357414896089,352.20204727003124,10320.55946216612,12
2026-08-22,9968.357414896089,0.0,9968.357414896089,12
2026-08-26,9866.175347674212,378.67195205312737,10244.84729972734,20
2026-08-28,9843.202792950004,332.0873541379835,10175.290147087988,20
2026-08-28,9836.978271655596,425.3433659566497,10262.321637612245,19
2026-08-29,9836.978271655596,0.0,9836.978271655596,19
2026-08-29,9836.978271655596,0.0,9836.978271655596,19
2026-08-30,9836.978271655596,0.0,9836.978271655596,19
2026-08-31,9836.978271655596,511.1341984802282,10348.112470135824,19
2026-08-31,9836.978271655596,511.1341984802282,10348.112470135824,19
2026-09-02,9790.244110400161,887.0016993269006,10677.245809727061,17
2026-09-04,9765.13707861787,1018.4543007470065,10783.591379364876,16
